Recaudo;Semana;Venta;Cons;Grupos;Festivo;Ing;Egr;Ped;NS;OP
11281867;1;10202335;0,5582;6;2;773;6444;21136;0,752;192
8771003;2;10348824;0,5765;8;2;1453;11660;31072;0,7197;181
10975992;3;12343136;0,7158;10;1;2618;11376;36276;0,9598;294
9333463;4;9060492;0,5991;10;1;2574;8388;33235;0,7299;233
10200774;5;9664874;0,8001;8;1;4617;6155;34696;0,9502;293
8424914;6;7650439;0,826;7;1;4457;4594;32949;0,9011;298
7993046;7;7765909;0,6707;8;1;4061;3998;32843;0,7717;262
8093309;8;7480983;0,8097;6;1;2649;2417;25971;0,9652;319
9790339;9;8915156;0,8048;6;1;2772;2432;30201;0,9274;323
9853709;10;9785781;0,7133;8;1;3705;3437;36529;0,7834;266
9838114;11;9170907;0,8656;6;1;2926;3074;28898;0,9496;322
10484878;12;10454154;0,8468;6;2;2875;3895;32332;0,9156;267
9859623;13;11437046;0,6699;8;1;3511;3328;36933;0,7754;282
12084041;14;10145298;0,8209;6;1;2987;2504;29425;0,953;340
11552918;15;17971155;0,8055;11;2;4346;5053;51135;0,9027;280
9356690;16;6592194;0,4822;3;2;2614;2984;18690;0,5876;165
10187517;17;10935595;0,8063;6;1;3825;3810;30120;0,9622;316
12150639;18;11313353;0,8027;6;1;3709;4305;33009;0,9388;325
10635349;19;12149792;0,6643;8;1;4396;4942;38794;0,7829;279
10361598;20;10495006;0,7707;6;1;2599;4270;28352;0,943;334
12595048;21;11710459;0,7931;6;1;2725;4305;32283;0,9106;340
11401934;22;12653935;0,8208;8;2;3698;5204;39480;0,9427;281
10724041;23;10198371;0,8661;6;1;2850;4745;31183;0,9566;336
12241235;24;11614500;0,8425;6;1;3051;4561;34350;0,9021;336
11783667;25;13159072;0,7965;8;2;3753;4882;39446;0,9315;286
10255287;26;11554193;0,7631;6;2;2686;2746;28916;0,9664;282
12777221;27;12058088;0,7591;6;2;2497;3627;31420;0,9137;287
11707166;28;13054486;0,6705;8;1;3371;5368;38820;0,7842;278
10864071;29;10959235;0,8131;6;2;2609;5302;29465;0,9719;276
12131953;30;11440102;0,8208;6;1;2855;5375;33110;0,9444;335
12416166;31;12904318;0,6751;8;1;4512;5468;40500;0,7924;281
10916167;32;10882607;0,8103;6;1;3497;3815;30354;0,9566;339
11980248;33;12116890;0,788;6;2;3684;3923;32894;0,9085;285
12288123;34;13707331;0,6638;8;1;4329;4926;40635;0,7796;282
10980854;35;11315692;0,8198;6;1;2710;4091;30484;0,9709;337
13045849;36;11784981;0,8404;6;1;3074;4955;34618;0,9243;342
11326643;37;13429847;0,6602;8;1;3854;5750;40451;0,7807;284
11510421;38;11423805;0,7572;6;1;2680;4079;28480;0,9569;339
12489775;39;12661168;0,7668;6;1;2599;3827;31964;0,9159;345
13248165;40;13375138;0,6767;8;1;3566;5702;40353;0,7854;288
10867405;41;10665476;0,8507;6;1;2538;5101;30672;0,9597;344
12111458;42;11751099;0,8371;6;2;2951;5514;33886;0,91;294
12056709;43;13997607;0,6362;8;1;3488;5553;38898;0,7788;290
11597869;44;11648750;0,7425;6;1;2393;3230;27511;0,9538;346
12589608;45;12581857;0,7728;6;2;2488;3739;31774;0,9038;297
11308443;46;13208794;0,7909;8;2;3535;6306;38667;0,9208;296
10785430;47;10385977;0,8303;6;1;2645;5469;29660;0,9226;359
12091875;48;11890426;0,8173;6;1;2680;5363;33047;0,8791;368
12434849;49;15269010;0,7653;9;2;3325;6730;41306;0,9186;301
15201475;50;14933795;0,738;8;1;2143;4903;34664;0,8874;361
14086032;51;14981175;0,6005;9;1;1911;6796;37269;0,7257;275
11757813;52;13228559;0,6168;7;1;1327;8012;28478;0,8025;240
10251295;1;10742295;0,5972;7;1;945;9202;25670;0,7666;226
8283013;2;9730283;0,6496;8;2;1270;7670;25274;0,9404;240
8668557;3;8331742;0,7041;8;1;1823;7471;25760;0,9635;312
7854693;4;7719077;0,623;9;1;2669;6958;31869;0,7583;260
9855927;5;9730004;0,8062;8;1;3525;8111;33886;0,9683;299
9248132;6;8962598;0,789;7;1;2536;4830;28617;0,9241;295
8025267;7;8743112;0,6035;8;1;2609;3957;28851;0,7964;257
8166223;8;7287841;0,7476;6;1;2127;2654;22342;0,9801;315
8755588;9;8086244;0,7735;6;1;2194;3119;25982;0,9561;329
8809850;10;8987515;0,6817;8;1;3448;4981;32416;0,8068;263
8071304;11;7938382;0,8167;6;1;3203;3704;25601;0,9865;316
9721694;12;9482925;0,8164;6;2;2893;3874;28303;0,9479;277
9560262;13;10575907;0,6456;8;1;3643;3663;33186;0,7982;276
9097229;14;10613198;0,7713;7;2;3032;3427;28758;0,9727;274
9261065;15;8791585;0,6011;5;2;1983;3143;22851;0,7445;223
10614668;16;11044355;0,6576;8;1;4609;5097;34390;0,8021;269
8792333;17;9076987;0,7976;6;1;4837;4358;28037;0,975;320
10463984;18;9802851;0,8213;6;2;4771;4791;30484;0,9368;278
10523071;19;11371393;0,6436;8;1;4140;5220;34905;0,7971;278
9619282;20;10063347;0,7249;6;1;1884;3956;24505;0,9748;330
10093553;21;11057689;0,7426;6;2;1997;3478;27320;0,9449;280
10447679;22;11615654;0,6293;8;1;2508;5664;32323;0,7955;273
9994426;23;9067826;0,8203;6;1;2023;5691;25616;0,9522;326
9257379;24;10129364;0,8182;6;2;2066;5679;28017;0,9209;276
9655774;25;10629579;0,905;8;3;2509;6246;30714;1,1915;284
8547206;26;9081379;0,7285;6;1;2003;3290;23558;0,9768;335
10189388;27;9898202;0,752;6;2;1935;3547;26176;0,9433;284
9728585;28;10226005;0,6565;8;1;2965;5893;31200;0,801;279
8351649;29;7616364;0,6797;5;1;2282;4412;21309;0,8122;270
10103709;30;11024456;0,8059;7;1;3065;5764;30951;0,9383;320
10441493;31;10472519;0,66;8;1;3969;4817;32668;0,7971;276
8245315;32;8938053;0,7808;6;2;3129;3347;25144;0,9736;273
9586710;33;9609082;0,7542;6;1;2882;3725;25945;0,943;337
9597836;34;10744739;0,788;8;2;3675;4708;32838;0,9606;268
8772104;35;9201772;0,817;6;1;2581;4080;25621;0,9684;317
10449487;36;9517304;0,8348;6;1;2356;4868;27257;0,9214;320
9184031;37;10594328;0,6466;8;1;3778;5080;32926;0,7803;270
8966313;38;8983741;0,7618;6;1;2664;3404;24792;0,9517;327
8617884;39;9214109;0,7536;6;1;2420;3167;25417;0,9148;328
10324043;40;10416172;0,646;8;1;4094;5332;32873;0,7816;269
8271401;41;8820685;0,81;6;1;3545;4694;26467;0,9576;314
8398635;42;8744652;0,7935;6;2;2813;4943;26090;0,9109;265
9151413;43;10462006;0,6385;8;1;3948;5733;32866;0,7809;273
9016542;44;9078821;0,7673;6;1;2594;3597;25386;0,9564;332
9236384;45;8726911;0,7751;6;2;2625;3827;25900;0,903;278
9711022;46;10579407;0,8057;8;2;4035;5559;34455;0,9135;281
9236218;47;9257253;0,8241;6;1;3019;4507;27161;0,8964;337
9018880;48;9080740;0,804;6;1;2734;4218;26806;0,8592;335
12664087;49;12830712;0,6431;9;1;4115;5481;37302;0,7723;277
8494759;50;11560902;0,7131;8;2;2726;4825;29745;0,8797;276
10884111;51;9364146;0,7132;8;1;1985;4802;25930;0,8161;324
10633317;52;15677556;0,6982;10;2;2229;11813;36160;0,9161;232
7774146;1;8256536;0,8268;9;3;816;9496;21879;1,0681;124
7718919;2;8635117;0,5916;8;2;1422;7756;20790;0,9452;235
7300786;3;6492940;0,7042;9;1;1958;8635;26027;0,9008;290
5745256;4;5180413;0,7536;8;1;3772;7530;24570;0,911;282
5870663;5;5106551;0,7791;6;1;3750;4918;20803;0,9602;280
6480122;6;5076790;0,7968;6;1;3736;2974;22203;0,926;289
5994647;7;6690219;0,771;8;1;4143;3582;27775;0,9433;303
6642379;8;6313588;0,7453;6;1;2283;2802;20691;0,9756;313
6865105;9;6832333;0,773;6;1;2248;2582;22252;0,9415;314
8836609;10;8405454;0,8042;8;1;4222;4038;30912;0,9594;303
6585594;11;7215758;0,8129;6;1;3363;3827;23632;0,9643;307
7968080;12;7508797;0,8249;6;1;3015;3467;24755;0,9241;307
7672944;13;7482249;0,7847;7;3;2759;3428;25505;0,9321;203
7699573;14;9102263;0,7494;6;3;2842;3247;25335;0,9607;212
8017779;15;8974268;0,7577;7;1;2434;3337;26448;0,8959;315
8921192;16;9823947;0,7734;8;1;3677;5253;31091;0,9362;308
7707849;17;7543783;0,798;6;1;3474;4731;24289;0,9682;303
7853541;18;7636927;0,8147;6;2;3276;4270;25506;0,9321;262
9312266;19;9470297;0,7732;8;1;4346;5390;31842;0,9453;318
